,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),T,RH,AH,PT08.S4(NO2)
3724,3808,979.0,10.6,999.0,796.0,1027.0,33.4,20.1,1.0142,1515.0
3725,3809,892.0,7.4,874.0,923.0,749.0,35.3,17.0,0.9546,1369.0
3726,3810,892.0,7.3,869.0,953.0,632.0,37.4,14.7,0.9295,1363.0
3727,3811,836.0,4.6,741.0,1065.0,479.0,38.6,14.6,0.9821,1277.0
3728,3812,824.0,4.0,708.0,1091.0,463.0,35.8,17.8,1.0274,1256.0
3729,3813,825.0,3.8,702.0,1077.0,458.0,38.4,16.4,1.0957,1267.0
3730,3814,871.0,5.0,761.0,1015.0,520.0,39.7,15.3,1.0963,1346.0
3731,3815,903.0,6.9,853.0,930.0,606.0,38.8,15.8,1.0706,1420.0
3732,3816,944.0,7.0,857.0,880.0,631.0,35.2,22.3,1.2467,1463.0
3733,3817,969.0,6.8,850.0,857.0,695.0,31.7,28.2,1.2962,1503.0
3734,3818,1005.0,8.5,919.0,788.0,871.0,30.4,30.9,1.3219,1543.0
3735,3819,972.0,8.0,898.0,807.0,879.0,29.5,32.1,1.3005,1508.0
3736,3820,960.0,5.7,798.0,854.0,780.0,28.0,34.9,1.2989,1459.0
3737,3821,946.0,5.1,767.0,870.0,728.0,28.2,36.6,1.3722,1443.0
3738,3822,959.0,5.5,787.0,830.0,821.0,26.5,40.7,1.3873,1460.0
3739,3823,877.0,3.1,658.0,964.0,663.0,28.3,36.7,1.3878,1349.0
3740,3824,867.0,2.9,645.0,1001.0,656.0,25.7,43.8,1.4233,1385.0
3741,3825,836.0,2.6,626.0,1024.0,639.0,24.3,49.0,1.4666,1397.0
3742,3826,820.0,2.2,597.0,1069.0,603.0,24.3,48.3,1.4449,1346.0
3743,3827,828.0,2.5,618.0,1039.0,560.0,23.6,49.2,1.4153,1354.0
3744,3828,929.0,5.6,791.0,841.0,789.0,22.2,53.9,1.4201,1493.0
3745,3829,1118.0,12.9,1079.0,638.0,1145.0,22.5,52.3,1.41,1761.0
3746,3830,1155.0,16.0,1181.0,580.0,1302.0,24.3,47.8,1.4321,1850.0
3747,3831,1112.0,12.2,1058.0,654.0,1297.0,27.3,40.7,1.4548,1695.0
3748,3832,1094.0,10.0,979.0,717.0,1192.0,33.3,28.2,1.4189,1633.0
3749,3833,1022.0,7.8,890.0,803.0,862.0,35.3,23.1,1.2989,1499.0
3750,3834,968.0,5.9,805.0,875.0,649.0,36.1,21.3,1.2502,1391.0
3751,3835,978.0,6.6,840.0,852.0,694.0,38.5,18.0,1.2055,1422.0
3752,3836,947.0,4.8,751.0,922.0,595.0,36.5,20.8,1.2446,1358.0
3753,3837,997.0,5.9,808.0,870.0,662.0,38.8,19.1,1.3035,1447.0
3754,3838,1026.0,6.0,813.0,843.0,692.0,38.8,19.8,1.3513,1463.0
3755,3839,973.0,5.0,764.0,914.0,619.0,38.1,19.7,1.2928,1373.0
3756,3840,925.0,4.2,721.0,969.0,484.0,36.1,20.7,1.2151,1317.0
3757,3841,957.0,5.0,766.0,929.0,516.0,32.8,24.3,1.1894,1380.0
3758,3842,1029.0,7.5,877.0,807.0,776.0,30.4,29.8,1.2712,1489.0
3759,3843,1109.0,9.3,952.0,735.0,1041.0,29.1,33.6,1.3314,1601.0
3760,3844,1105.0,10.0,977.0,692.0,1138.0,28.6,35.7,1.3726,1618.0
3761,3845,1039.0,8.2,906.0,728.0,1091.0,28.0,36.1,1.3425,1545.0
3762,3846,965.0,6.4,832.0,795.0,978.0,25.8,39.5,1.2949,1455.0
3763,3847,955.0,6.0,812.0,823.0,936.0,25.1,40.1,1.2544,1464.0
3764,3848,935.0,5.4,782.0,847.0,867.0,24.4,42.5,1.2854,1428.0
3765,3849,902.0,4.4,735.0,890.0,781.0,23.0,46.2,1.2783,1410.0
3766,3850,875.0,4.1,714.0,903.0,746.0,22.5,46.7,1.261,1379.0
3767,3851,884.0,4.3,729.0,920.0,837.0,22.9,45.7,1.2621,1389.0
3768,3852,942.0,6.3,825.0,870.0,995.0,23.8,41.8,1.2149,1450.0
3769,3853,1077.0,10.9,1012.0,708.0,1138.0,24.4,42.6,1.2866,1633.0
3770,3854,1040.0,11.2,1022.0,713.0,998.0,27.3,36.8,1.3189,1624.0
3771,3855,982.0,6.5,836.0,840.0,696.0,29.6,35.4,1.4426,1498.0
3772,3856,995.0,5.7,800.0,896.0,615.0,34.6,28.3,1.5338,1501.0
3773,3857,1024.0,7.0,859.0,810.0,710.0,33.1,32.6,1.6188,1576.0
3774,3858,1029.0,5.6,791.0,855.0,651.0,33.3,33.1,1.6642,1567.0
3775,3859,1003.0,5.5,787.0,850.0,636.0,34.6,30.1,1.6296,1518.0
3776,3860,987.0,5.4,782.0,875.0,593.0,34.9,29.5,1.6275,1514.0
3777,3861,1023.0,7.0,859.0,810.0,684.0,35.6,28.5,1.6293,1590.0
3778,3862,1023.0,7.4,875.0,785.0,711.0,36.4,27.1,1.6226,1590.0
3779,3863,1064.0,9.1,942.0,735.0,801.0,36.8,26.2,1.5984,1650.0
3780,3864,1042.0,8.9,936.0,759.0,770.0,36.4,26.8,1.6038,1630.0
3781,3865,1059.0,9.2,947.0,733.0,813.0,33.3,32.8,1.6527,1671.0
3782,3866,1050.0,8.5,921.0,743.0,851.0,31.3,39.5,1.7798,1683.0
3783,3867,1025.0,7.9,896.0,738.0,823.0,29.9,44.7,1.8511,1693.0
3784,3868,1029.0,6.1,816.0,804.0,778.0,29.1,48.4,1.9186,1624.0
3785,3869,1055.0,6.4,831.0,769.0,827.0,28.0,52.9,1.964,1686.0
3786,3870,1001.0,5.7,799.0,800.0,753.0,27.7,53.0,1.9423,1642.0
3787,3871,936.0,4.4,730.0,864.0,726.0,27.7,52.6,1.9202,1551.0
3788,3872,863.0,2.3,608.0,1035.0,597.0,28.3,49.5,1.8782,1465.0
3789,3873,834.0,1.8,565.0,1187.0,473.0,28.8,49.0,1.9112,1444.0
3790,3874,841.0,1.9,578.0,1144.0,463.0,27.7,52.5,1.923,1464.0
3791,3875,871.0,2.4,611.0,1077.0,526.0,27.5,53.0,1.9097,1494.0
3792,3876,962.0,4.7,747.0,862.0,712.0,27.1,54.4,1.9168,1605.0
3793,3877,1083.0,7.8,889.0,725.0,918.0,27.6,52.1,1.8936,1734.0
3794,3878,1061.0,7.8,891.0,721.0,894.0,29.0,48.5,1.9133,1697.0
3795,3879,1012.0,6.3,824.0,803.0,710.0,31.0,42.9,1.8909,1612.0
3796,3880,1031.0,6.5,834.0,793.0,737.0,32.5,39.4,1.8982,1640.0
3797,3881,1011.0,6.1,816.0,830.0,680.0,36.9,30.9,1.8934,1614.0
3798,3882,1009.0,6.3,824.0,822.0,670.0,36.2,30.6,1.8105,1606.0
3799,3883,980.0,5.6,793.0,858.0,654.0,37.7,27.7,1.778,1549.0
3800,3884,961.0,5.8,803.0,852.0,618.0,37.1,27.2,1.6874,1552.0
3801,3885,966.0,5.4,784.0,870.0,652.0,39.5,24.3,1.7216,1530.0
3802,3886,1022.0,6.8,849.0,813.0,732.0,39.9,23.8,1.7127,1583.0
3803,3887,1091.0,9.3,953.0,723.0,853.0,39.6,24.3,1.7255,1688.0
3804,3888,1063.0,8.5,919.0,735.0,821.0,37.2,29.1,1.8185,1676.0
3805,3889,1116.0,9.3,952.0,702.0,895.0,33.9,37.1,1.9264,1759.0
3806,3890,1101.0,7.4,875.0,722.0,927.0,31.6,43.6,1.9944,1748.0
3807,3891,1072.0,6.4,831.0,757.0,857.0,30.3,47.3,2.0034,1677.0
3808,3892,1080.0,7.8,890.0,723.0,869.0,29.8,49.1,2.0248,1702.0
3809,3893,1005.0,5.6,792.0,809.0,725.0,29.0,51.7,2.0375,1638.0
3810,3894,998.0,5.3,776.0,810.0,665.0,28.5,52.1,2.0036,1608.0
3811,3895,1000.0,5.0,763.0,807.0,680.0,27.7,53.7,1.9661,1619.0
3812,3896,932.0,4.2,720.0,859.0,605.0,27.4,53.5,1.9267,1562.0
3813,3897,808.0,1.4,539.0,1206.0,427.0,28.5,48.7,1.872,1383.0
3814,3898,795.0,1.0,494.0,1398.0,400.0,28.9,48.4,1.8982,1353.0
3815,3899,886.0,2.4,613.0,1075.0,522.0,27.1,54.8,1.9309,1484.0
3816,3900,974.0,4.5,740.0,873.0,703.0,26.1,59.0,1.9669,1595.0
3817,3901,1112.0,8.9,936.0,683.0,965.0,26.7,58.0,2.0023,1792.0
3818,3902,1175.0,12.9,1080.0,591.0,1102.0,27.9,54.9,2.0353,1931.0
3819,3903,1091.0,8.6,925.0,701.0,1058.0,29.7,50.5,2.0767,1753.0
3820,3904,1066.0,7.8,890.0,747.0,906.0,32.2,41.4,1.9624,1690.0
3821,3905,1031.0,7.7,887.0,777.0,844.0,35.6,32.2,1.8408,1665.0
3822,3906,1004.0,7.3,868.0,772.0,763.0,35.7,31.4,1.8025,1632.0
3823,3907,927.0,3.8,698.0,919.0,555.0,35.5,34.9,1.9841,1537.0
3824,3908,924.0,3.3,673.0,960.0,520.0,35.0,35.5,1.962,1522.0
3825,3909,912.0,3.3,671.0,964.0,508.0,35.1,34.6,1.9255,1508.0
3826,3910,976.0,4.8,752.0,876.0,545.0,36.8,30.5,1.8572,1561.0
3827,3911,989.0,5.7,798.0,840.0,584.0,34.5,34.7,1.8667,1607.0
3828,3912,986.0,5.6,794.0,845.0,590.0,33.0,38.1,1.8813,1619.0
3829,3913,984.0,5.7,800.0,836.0,610.0,30.8,43.1,1.8761,1607.0
3830,3914,1000.0,7.0,857.0,767.0,689.0,29.1,46.9,1.8652,1634.0
3831,3915,996.0,6.8,848.0,763.0,713.0,28.2,49.8,1.8795,1657.0
3832,3916,1013.0,8.3,913.0,717.0,785.0,27.5,50.4,1.823,1685.0
3833,3917,1004.0,6.9,851.0,767.0,754.0,27.3,49.1,1.7503,1632.0
3834,3918,949.0,6.0,814.0,824.0,653.0,26.7,46.7,1.6121,1563.0
3835,3919,895.0,5.4,783.0,863.0,575.0,26.0,45.0,1.4913,1502.0
3836,3920,863.0,3.9,707.0,927.0,537.0,25.0,47.3,1.4771,1407.0
3837,3921,786.0,2.0,587.0,1150.0,413.0,25.3,44.3,1.4032,1300.0
3838,3922,792.0,2.2,597.0,1137.0,417.0,24.3,46.3,1.3857,1320.0
3839,3923,816.0,3.0,653.0,1058.0,486.0,24.8,43.4,1.3347,1332.0
3840,3924,826.0,3.5,682.0,1088.0,532.0,24.5,40.6,1.2327,1342.0
3841,3925,826.0,3.8,698.0,1017.0,542.0,25.7,36.9,1.1991,1331.0
3842,3926,809.0,3.2,664.0,1061.0,459.0,26.8,35.0,1.2175,1323.0
3843,3927,809.0,2.6,624.0,1131.0,415.0,28.0,34.9,1.3008,1309.0
3844,3928,853.0,3.5,681.0,1031.0,457.0,29.0,34.1,1.3445,1368.0
3845,3929,814.0,3.1,657.0,1086.0,429.0,30.4,30.8,1.3155,1332.0
3846,3930,807.0,3.1,658.0,1113.0,428.0,32.4,26.3,1.2523,1328.0
3847,3931,811.0,3.0,653.0,1120.0,423.0,31.0,28.9,1.277,1336.0
3848,3932,796.0,2.2,601.0,1171.0,410.0,29.3,33.1,1.322,1314.0
3849,3933,833.0,3.0,649.0,1142.0,437.0,26.9,35.2,1.2334,1354.0
3850,3934,856.0,3.5,684.0,1023.0,520.0,28.1,34.2,1.2802,1368.0
3851,3935,830.0,3.7,696.0,1060.0,461.0,28.5,29.4,1.1298,1328.0
3852,3936,883.0,5.4,782.0,958.0,571.0,27.3,31.0,1.111,1395.0
3853,3937,965.0,8.9,936.0,808.0,866.0,25.4,36.2,1.1562,1535.0
3854,3938,931.0,7.8,890.0,831.0,841.0,24.6,38.0,1.158,1474.0
3855,3939,885.0,5.6,791.0,941.0,706.0,24.3,41.6,1.2467,1425.0
3856,3940,900.0,5.2,773.0,944.0,703.0,24.9,40.8,1.2696,1426.0
3857,3941,904.0,6.7,845.0,878.0,775.0,23.8,44.7,1.3019,1483.0
3858,3942,944.0,8.0,900.0,809.0,830.0,22.8,49.8,1.367,1549.0
3859,3943,907.0,6.4,832.0,868.0,808.0,22.8,49.4,1.3568,1492.0
3860,3944,886.0,5.2,774.0,868.0,815.0,20.9,57.4,1.4037,1486.0
3861,3945,882.0,5.1,767.0,856.0,897.0,20.5,60.6,1.447,1492.0
3862,3946,843.0,4.0,713.0,917.0,836.0,19.6,63.7,1.4396,1426.0
3863,3947,825.0,3.7,694.0,935.0,774.0,19.4,64.5,1.4394,1415.0
3864,3948,791.0,2.8,638.0,1038.0,698.0,18.6,67.4,1.4302,1389.0
3865,3949,856.0,4.5,735.0,936.0,800.0,19.6,63.7,1.4419,1455.0
3866,3950,861.0,4.7,746.0,911.0,771.0,21.7,56.4,1.4496,1448.0
3867,3951,924.0,6.0,814.0,830.0,798.0,25.2,47.4,1.4978,1519.0
3868,3952,941.0,5.8,805.0,842.0,755.0,30.4,34.1,1.4577,1512.0
3869,3953,879.0,5.2,775.0,899.0,657.0,33.4,25.1,1.2665,1407.0
3870,3954,816.0,4.6,742.0,1009.0,537.0,35.5,18.2,1.0376,1305.0
3871,3955,715.0,2.1,589.0,1286.0,390.0,35.1,15.7,0.8757,1127.0
3872,3956,717.0,1.8,570.0,1326.0,368.0,33.3,17.1,0.8592,1110.0
3873,3957,711.0,2.8,640.0,1224.0,391.0,36.6,11.8,0.7107,1084.0
3874,3958,731.0,3.6,686.0,1212.0,413.0,38.3,10.0,0.6591,1104.0
3875,3959,752.0,4.0,713.0,1163.0,435.0,37.3,10.9,0.6846,1144.0
3876,3960,879.0,5.3,779.0,999.0,535.0,34.6,20.0,1.0817,1347.0
3877,3961,922.0,7.4,874.0,851.0,663.0,30.4,28.2,1.204,1447.0
3878,3962,958.0,8.0,900.0,782.0,830.0,28.1,34.3,1.2821,1493.0
3879,3963,949.0,7.4,876.0,773.0,911.0,26.5,36.6,1.2484,1500.0
3880,3964,922.0,6.1,818.0,826.0,848.0,25.7,38.5,1.2548,1454.0
3881,3965,902.0,5.5,790.0,856.0,799.0,24.7,41.6,1.2751,1428.0
3882,3966,932.0,6.2,820.0,817.0,921.0,23.6,45.4,1.3067,1462.0
3883,3967,870.0,4.4,733.0,903.0,762.0,23.4,46.3,1.3134,1392.0
3884,3968,812.0,3.4,675.0,995.0,661.0,21.6,51.6,1.3171,1348.0
3885,3969,773.0,2.4,613.0,1065.0,597.0,21.2,53.3,1.328,1321.0
3886,3970,769.0,2.0,582.0,1105.0,616.0,20.6,55.1,1.3237,1306.0
3887,3971,763.0,2.0,583.0,1093.0,596.0,22.1,49.6,1.3022,1288.0
3888,3972,809.0,3.8,701.0,997.0,649.0,21.1,51.6,1.2784,1384.0
3889,3973,893.0,7.6,881.0,810.0,792.0,21.8,48.6,1.2556,1486.0
3890,3974,1028.0,14.9,1146.0,638.0,1080.0,21.7,49.1,1.2602,1766.0
3891,3975,1011.0,12.0,1051.0,702.0,1087.0,25.3,41.7,1.3243,1659.0
3892,3976,994.0,9.2,947.0,764.0,983.0,30.3,30.9,1.3096,1572.0
3893,3977,937.0,8.2,908.0,822.0,826.0,32.9,24.9,1.2269,1466.0
3894,3978,902.0,5.9,808.0,912.0,632.0,34.4,23.5,1.2541,1408.0
3895,3979,860.0,4.7,748.0,955.0,532.0,34.3,22.5,1.1974,1344.0
3896,3980,843.0,4.1,716.0,1005.0,496.0,33.4,21.6,1.0927,1305.0
3897,3981,872.0,4.9,760.0,979.0,513.0,36.1,18.4,1.0827,1314.0
3898,3982,857.0,5.2,775.0,979.0,512.0,37.3,15.4,0.9692,1258.0
3899,3983,922.0,7.5,878.0,880.0,615.0,36.8,16.2,0.9922,1363.0
3900,3984,951.0,7.4,875.0,856.0,600.0,34.9,20.9,1.1463,1406.0
3901,3985,962.0,7.8,891.0,813.0,634.0,30.8,26.5,1.1603,1442.0
3902,3986,957.0,8.6,926.0,758.0,830.0,28.9,28.3,1.1078,1480.0
3903,3987,928.0,6.5,837.0,808.0,871.0,27.0,30.7,1.079,1410.0
3904,3988,895.0,6.8,846.0,819.0,787.0,26.6,30.6,1.0459,1371.0
3905,3989,902.0,5.7,797.0,845.0,841.0,26.0,33.1,1.0955,1355.0
3906,3990,904.0,5.8,801.0,852.0,862.0,24.1,37.9,1.1204,1400.0
3907,3991,919.0,5.7,799.0,844.0,881.0,22.2,43.1,1.1396,1409.0
3908,3992,812.0,3.2,663.0,982.0,709.0,22.8,41.3,1.1284,1265.0
3909,3993,776.0,2.1,590.0,1099.0,602.0,21.2,43.8,1.088,1245.0
3910,3994,762.0,1.7,563.0,1181.0,492.0,21.7,42.6,1.0907,1208.0
3911,3995,786.0,2.8,642.0,1057.0,592.0,20.2,47.1,1.1021,1270.0
3912,3996,868.0,5.7,798.0,866.0,824.0,20.1,47.8,1.1093,1392.0
3913,3997,965.0,10.0,977.0,725.0,1014.0,20.6,45.5,1.0925,1515.0
3914,3998,1049.0,14.5,1133.0,630.0,1208.0,22.4,41.1,1.0979,1662.0
3915,3999,1008.0,9.9,973.0,714.0,1178.0,25.0,36.6,1.143,1509.0
3916,4000,1008.0,11.2,1021.0,714.0,1176.0,29.9,26.2,1.0891,1549.0
3917,4001,973.0,8.3,911.0,800.0,891.0,32.9,21.8,1.0714,1441.0
3918,4002,964.0,9.5,959.0,787.0,731.0,35.0,17.9,0.99,1438.0
3919,4003,923.0,7.1,862.0,875.0,626.0,34.6,18.2,0.9832,1363.0
3920,4004,934.0,6.0,811.0,896.0,553.0,33.8,22.8,1.1781,1343.0
3921,4005,1036.0,9.1,943.0,770.0,770.0,36.3,19.5,1.1539,1509.0
3922,4006,1076.0,10.4,994.0,723.0,938.0,38.3,17.9,1.181,1549.0
3923,4007,1055.0,8.7,927.0,757.0,716.0,36.9,20.9,1.2864,1520.0
3924,4008,1081.0,9.0,938.0,728.0,714.0,33.9,30.0,1.56,1568.0
3925,4009,1072.0,6.8,850.0,737.0,702.0,29.8,43.4,1.7988,1604.0
3926,4010,1038.0,5.2,773.0,749.0,687.0,27.5,50.4,1.8274,1568.0
3927,4011,1059.0,5.7,800.0,740.0,739.0,27.5,50.4,1.8284,1604.0
3928,4012,1070.0,6.9,852.0,704.0,867.0,28.1,48.0,1.7933,1639.0
3929,4013,1093.0,7.8,893.0,677.0,927.0,26.9,49.6,1.7299,1678.0
3930,4014,1016.0,6.8,849.0,729.0,872.0,26.0,48.0,1.5899,1609.0
3931,4015,988.0,6.3,825.0,756.0,848.0,24.9,50.6,1.5747,1559.0
3932,4016,930.0,4.7,749.0,823.0,777.0,23.7,53.2,1.5418,1464.0
3933,4017,815.0,2.0,584.0,1102.0,513.0,24.5,50.9,1.5416,1363.0
3934,4018,884.0,3.6,686.0,908.0,651.0,22.9,56.1,1.5492,1439.0
3935,4019,913.0,4.4,730.0,883.0,774.0,23.3,55.5,1.5636,1493.0
3936,4020,994.0,6.4,829.0,784.0,982.0,23.6,54.2,1.5583,1581.0
3937,4021,1173.0,11.9,1047.0,631.0,1175.0,24.9,52.9,1.643,1815.0
3938,4022,1314.0,21.0,1325.0,499.0,1390.0,26.4,50.8,1.7166,2143.0
3939,4023,1252.0,15.6,1168.0,557.0,1352.0,28.1,47.4,1.7753,1938.0
3940,4024,1151.0,12.1,1053.0,623.0,1152.0,30.2,43.2,1.823,1835.0
3941,4025,1122.0,9.3,951.0,687.0,1022.0,31.2,41.9,1.871,1729.0
3942,4026,1111.0,8.7,927.0,707.0,922.0,33.9,36.0,1.8692,1715.0
3943,4027,1058.0,7.9,894.0,736.0,825.0,33.9,34.1,1.7754,1648.0
3944,4028,972.0,6.2,820.0,811.0,630.0,34.4,30.6,1.6402,1535.0
3945,4029,985.0,6.3,826.0,808.0,621.0,35.3,28.5,1.6034,1544.0
3946,4030,1004.0,6.0,814.0,808.0,602.0,36.3,28.3,1.6851,1520.0
3947,4031,1030.0,7.9,897.0,733.0,668.0,35.3,29.4,1.6577,1592.0
3948,4032,965.0,5.8,802.0,821.0,564.0,32.5,34.1,1.6453,1504.0
3949,4033,987.0,6.3,824.0,793.0,581.0,29.1,42.1,1.6695,1541.0
3950,4034,923.0,6.0,811.0,804.0,604.0,27.8,35.6,1.3116,1434.0
3951,4035,872.0,6.3,824.0,853.0,590.0,27.0,30.0,1.0542,1346.0
3952,4036,939.0,6.8,849.0,804.0,650.0,26.3,37.3,1.2555,1479.0
3953,4037,954.0,7.0,855.0,792.0,745.0,25.2,40.8,1.2877,1474.0
3954,4038,969.0,7.0,857.0,753.0,821.0,24.3,43.3,1.2973,1485.0
3955,4039,882.0,5.0,763.0,879.0,656.0,23.3,45.3,1.2794,1388.0
3956,4040,805.0,2.8,637.0,1048.0,520.0,24.1,44.0,1.3034,1276.0
3957,4041,790.0,2.1,590.0,1122.0,493.0,23.8,44.8,1.3061,1257.0
3958,4042,779.0,1.7,560.0,1189.0,487.0,23.0,47.7,1.3232,1231.0
3959,4043,842.0,2.8,640.0,1070.0,595.0,23.7,46.7,1.3501,1293.0
3960,4089,835.0,3.8,699.0,912.0,796.0,19.8,59.3,1.3505,1361.0
3961,4090,792.0,2.5,621.0,1015.0,714.0,20.0,59.3,1.3681,1322.0
3962,4091,749.0,1.7,559.0,1145.0,584.0,22.5,48.6,1.3077,1255.0
3963,4092,803.0,3.4,676.0,975.0,676.0,19.5,57.0,1.2739,1303.0
3964,4093,818.0,4.3,726.0,921.0,685.0,19.6,56.1,1.2651,1330.0
3965,4094,932.0,7.1,861.0,767.0,894.0,20.7,53.3,1.287,1483.0
3966,4095,977.0,8.3,913.0,744.0,977.0,24.7,41.8,1.2839,1512.0
3967,4096,1011.0,9.1,945.0,733.0,1034.0,29.9,30.5,1.2616,1570.0
3968,4097,975.0,7.7,887.0,829.0,737.0,32.3,27.2,1.2933,1478.0
3969,4098,958.0,7.2,867.0,828.0,660.0,34.3,24.5,1.3021,1468.0
3970,4099,903.0,5.8,805.0,886.0,581.0,33.4,22.5,1.1398,1361.0
3971,4100,854.0,3.5,684.0,1020.0,456.0,32.7,22.8,1.1069,1294.0
3972,4101,890.0,4.7,749.0,953.0,483.0,34.5,20.5,1.1028,1332.0
3973,4102,962.0,6.7,845.0,877.0,575.0,35.9,20.3,1.18,1379.0
3974,4103,1028.0,8.9,934.0,786.0,707.0,35.8,23.0,1.3323,1481.0
3975,4104,1031.0,8.0,901.0,775.0,628.0,33.5,29.0,1.4797,1502.0
3976,4105,1087.0,9.0,938.0,690.0,747.0,29.8,39.6,1.6324,1613.0
3977,4106,1029.0,7.1,862.0,727.0,733.0,27.9,43.1,1.6004,1539.0
3978,4107,1070.0,8.8,932.0,685.0,847.0,27.3,44.5,1.5885,1648.0
3979,4108,1059.0,8.4,914.0,697.0,895.0,26.0,47.6,1.5806,1617.0
3980,4109,1125.0,9.3,952.0,646.0,995.0,25.3,52.9,1.6765,1690.0
3981,4110,1062.0,6.4,829.0,714.0,846.0,24.5,56.3,1.7026,1592.0
3982,4111,1049.0,6.9,853.0,699.0,882.0,23.5,59.8,1.7141,1605.0
3983,4112,999.0,7.3,871.0,711.0,909.0,22.6,62.6,1.6945,1580.0
3984,4113,947.0,5.9,808.0,768.0,851.0,21.8,64.6,1.6721,1537.0
3985,4114,904.0,4.8,753.0,809.0,766.0,21.0,66.9,1.6454,1529.0
3986,4115,894.0,3.5,681.0,843.0,765.0,21.2,66.4,1.6468,1476.0
3987,4116,875.0,3.0,654.0,897.0,752.0,21.0,66.5,1.6344,1463.0
3988,4117,870.0,2.8,637.0,947.0,716.0,21.3,64.1,1.6043,1445.0
3989,4118,952.0,4.8,756.0,809.0,825.0,22.7,58.1,1.5856,1518.0
3990,4119,949.0,3.9,705.0,859.0,691.0,25.1,51.8,1.6304,1460.0
3991,4120,1028.0,6.9,854.0,776.0,761.0,29.5,39.0,1.5868,1561.0
3992,4121,1003.0,6.8,849.0,800.0,710.0,32.3,31.8,1.5128,1511.0
3993,4122,934.0,5.0,763.0,872.0,567.0,33.6,28.9,1.4792,1435.0
3994,4123,872.0,4.0,710.0,956.0,493.0,31.9,28.2,1.3116,1377.0
3995,4124,852.0,3.5,684.0,982.0,477.0,32.5,25.9,1.2437,1343.0
3996,4125,881.0,4.1,715.0,955.0,502.0,34.1,23.4,1.2307,1352.0
3997,4126,942.0,5.4,783.0,898.0,568.0,36.2,21.4,1.2664,1397.0
3998,4127,1038.0,8.6,925.0,746.0,714.0,35.6,22.6,1.2984,1534.0
3999,4128,1042.0,8.8,932.0,752.0,717.0,33.6,25.7,1.3101,1530.0
4000,4129,1181.0,13.7,1107.0,590.0,935.0,29.9,35.2,1.4603,1807.0
4001,4130,1116.0,11.8,1044.0,613.0,954.0,28.3,39.2,1.4826,1694.0
4002,4131,1062.0,8.6,923.0,697.0,839.0,27.0,43.0,1.5118,1602.0
4003,4132,1085.0,9.2,948.0,680.0,880.0,26.2,46.8,1.5669,1635.0
4004,4133,1161.0,12.2,1057.0,613.0,1026.0,25.1,51.5,1.621,1764.0
4005,4134,1053.0,7.8,891.0,690.0,898.0,24.1,55.3,1.6363,1589.0
4006,4135,956.0,4.5,740.0,831.0,717.0,23.8,57.8,1.677,1474.0
4007,4136,859.0,2.9,646.0,951.0,607.0,23.7,56.2,1.6255,1376.0
4008,4137,813.0,1.8,566.0,1123.0,501.0,24.8,52.2,1.6086,1328.0
4009,4138,815.0,1.7,565.0,1127.0,541.0,22.9,59.4,1.6353,1350.0
4010,4139,902.0,3.9,706.0,877.0,708.0,22.0,62.3,1.6266,1463.0
4011,4140,1017.0,7.6,885.0,726.0,884.0,21.5,64.0,1.6256,1609.0
4012,4141,1336.0,23.3,1385.0,477.0,1357.0,22.6,60.3,1.6287,2133.0
4013,4142,1393.0,30.7,1567.0,416.0,1562.0,23.8,56.5,1.64,2381.0
4014,4143,1271.0,20.4,1308.0,517.0,1411.0,25.7,50.6,1.6475,2007.0
4015,4144,1169.0,13.7,1107.0,607.0,1175.0,27.8,45.4,1.6751,1818.0
4016,4145,1143.0,11.8,1043.0,643.0,1079.0,29.9,39.6,1.6397,1747.0
4017,4146,1084.0,10.1,980.0,679.0,923.0,31.6,34.7,1.589,1653.0
4018,4147,1051.0,9.3,950.0,715.0,748.0,31.5,34.4,1.5665,1644.0
4019,4148,1020.0,7.6,882.0,765.0,635.0,31.2,35.0,1.5669,1553.0
4020,4149,1111.0,13.1,1088.0,635.0,884.0,33.0,31.4,1.5583,1719.0
4021,4150,1125.0,12.2,1056.0,645.0,929.0,33.8,29.2,1.5143,1716.0
4022,4151,1099.0,11.9,1048.0,657.0,779.0,33.0,29.5,1.4613,1711.0
4023,4152,1132.0,14.1,1121.0,611.0,906.0,32.3,30.2,1.4347,1757.0
4024,4153,1077.0,11.3,1025.0,629.0,772.0,28.4,38.4,1.4616,1677.0
4025,4154,1076.0,10.3,988.0,648.0,883.0,26.9,43.2,1.5052,1649.0
4026,4155,1070.0,10.8,1008.0,656.0,963.0,26.0,43.6,1.4407,1649.0
4027,4156,1052.0,9.4,956.0,675.0,987.0,25.0,47.6,1.4872,1581.0
4028,4157,988.0,7.1,862.0,736.0,893.0,24.6,50.9,1.5508,1539.0
4029,4158,926.0,5.1,769.0,836.0,801.0,24.0,55.6,1.6381,1467.0
4030,4159,925.0,4.7,749.0,826.0,739.0,23.5,58.3,1.6672,1482.0
4031,4160,869.0,2.9,648.0,953.0,644.0,22.7,60.8,1.6519,1401.0
4032,4161,832.0,2.1,593.0,1049.0,558.0,24.1,55.5,1.6481,1347.0
4033,4162,854.0,2.9,645.0,954.0,602.0,22.5,60.9,1.6424,1399.0
4034,4163,913.0,4.3,726.0,861.0,737.0,22.0,64.5,1.6847,1487.0
4035,4164,976.0,6.6,840.0,756.0,885.0,22.3,62.9,1.6754,1555.0
